n,gameOver,head,score,visionUp,visionRight,visionDown,visionLeft,directionChoice
10,0,"[3, 3]",1,1.0,0.0,0.0,0.0,2
11,0,"[4, 3]",1,1.0,0.0,0.0,0.0,0
12,0,"[5, 3]",1,1.0,0.0,0.0,0.0,0
13,0,"[6, 3]",1,1.0,0.0,0.0,0.0,2
14,0,"[7, 3]",1,1.0,0.0,0.0,0.0,3
15,0,"[7, 2]",1,0.0,1.0,0.0,0.0,0
16,0,"[6, 2]",1,0.0,1.0,1.0,0.0,3
17,0,"[6, 1]",1,0.0,1.0,0.0,0.0,1
18,1,"[6, 0]",1,0.0,1.0,0.0,1.0,3
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,2
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,3
2,0,"[8, 4]",0,0.0,1.0,0.0,0.0,0
3,0,"[7, 4]",0,0.0,0.0,1.0,0.0,1
4,0,"[7, 5]",0,0.0,0.0,0.0,1.0,2
5,0,"[8, 5]",0,1.0,0.0,0.0,0.0,2
6,0,"[9, 5]",0,1.0,0.0,1.0,0.0,3
7,1,"[9, 4]",0,0.0,1.0,1.0,0.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,2
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,2
2,0,"[9, 5]",0,1.0,0.0,1.0,0.0,3
3,0,"[9, 4]",0,0.0,1.0,1.0,0.0,0
4,0,"[8, 4]",0,0.0,0.0,1.0,0.0,0
5,0,"[7, 4]",0,0.0,0.0,1.0,0.0,2
6,0,"[6, 4]",0,0.0,0.0,1.0,0.0,3
7,0,"[6, 3]",0,0.0,1.0,0.0,0.0,2
8,0,"[7, 3]",0,1.0,0.0,0.0,0.0,2
9,0,"[8, 3]",0,1.0,0.0,0.0,0.0,1
10,0,"[8, 4]",0,0.0,0.0,0.0,1.0,3
11,0,"[8, 5]",0,0.0,0.0,0.0,1.0,0
12,0,"[7, 5]",0,0.0,0.0,1.0,0.0,3
13,0,"[7, 4]",0,0.0,1.0,0.0,0.0,1
14,0,"[7, 3]",0,0.0,1.0,0.0,0.0,0
15,0,"[6, 3]",0,0.0,0.0,1.0,0.0,3
16,0,"[6, 2]",0,0.0,1.0,0.0,0.0,0
17,0,"[5, 2]",0,0.0,0.0,1.0,0.0,2
18,0,"[4, 2]",0,0.0,0.0,1.0,0.0,0
19,0,"[3, 2]",1,0.0,0.0,1.0,0.0,0
20,0,"[2, 2]",1,0.0,0.0,1.0,0.0,2
21,0,"[1, 2]",1,0.0,0.0,1.0,0.0,2
22,1,"[0, 2]",1,1.0,0.0,1.0,0.0,3
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,3
2,1,"[5, 9]",0,0.0,1.0,0.0,1.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,1
2,0,"[5, 9]",0,0.0,1.0,0.0,1.0,0
3,1,"[4, 9]",0,0.0,1.0,1.0,0.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
1,0,"[6, 7]",0,1.0,0.0,0.0,0.0,3
2,0,"[6, 6]",0,0.0,1.0,0.0,0.0,0
3,0,"[5, 6]",0,0.0,0.0,1.0,0.0,1
4,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
5,0,"[5, 8]",0,0.0,0.0,0.0,1.0,1
6,1,"[5, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,0
1,0,"[4, 7]",0,0.0,0.0,1.0,0.0,2
2,0,"[3, 7]",0,0.0,0.0,1.0,0.0,2
3,0,"[2, 7]",0,0.0,0.0,1.0,0.0,2
4,0,"[1, 7]",0,0.0,0.0,1.0,0.0,2
5,1,"[0, 7]",0,1.0,0.0,1.0,0.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,0
2,0,"[6, 6]",0,0.0,0.0,1.0,0.0,2
3,0,"[5, 6]",0,0.0,0.0,1.0,0.0,0
4,0,"[4, 6]",0,0.0,0.0,1.0,0.0,3
5,0,"[4, 5]",0,0.0,1.0,0.0,0.0,1
6,0,"[4, 4]",0,0.0,1.0,0.0,0.0,0
7,0,"[3, 4]",0,0.0,0.0,1.0,0.0,1
8,0,"[3, 5]",0,0.0,0.0,0.0,1.0,3
9,0,"[3, 6]",0,0.0,0.0,0.0,1.0,1
10,0,"[3, 7]",0,0.0,0.0,0.0,1.0,1
11,0,"[3, 8]",0,0.0,0.0,0.0,1.0,1
12,0,"[3, 9]",0,0.0,1.0,0.0,1.0,2
13,0,"[4, 9]",0,1.0,1.0,0.0,0.0,0
14,0,"[5, 9]",0,1.0,1.0,0.0,0.0,3
15,0,"[5, 8]",0,0.0,1.0,0.0,0.0,0
16,0,"[4, 8]",0,0.0,0.0,1.0,0.0,0
17,0,"[3, 8]",0,0.0,0.0,1.0,0.0,1
18,1,"[3, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,1
2,0,"[8, 6]",0,0.0,0.0,0.0,1.0,2
3,0,"[9, 6]",0,1.0,0.0,1.0,0.0,1
4,0,"[9, 7]",0,0.0,0.0,1.0,1.0,3
5,0,"[9, 8]",0,0.0,0.0,1.0,1.0,0
6,0,"[8, 8]",0,0.0,0.0,1.0,0.0,3
7,0,"[8, 7]",0,0.0,1.0,0.0,0.0,2
8,1,"[9, 7]",0,1.0,0.0,1.0,0.0,0
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,1
2,1,"[5, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
1,0,"[6, 7]",0,1.0,0.0,0.0,0.0,1
2,0,"[6, 8]",0,0.0,0.0,0.0,1.0,3
3,0,"[6, 9]",0,0.0,1.0,0.0,1.0,2
4,0,"[7, 9]",0,1.0,1.0,0.0,0.0,2
5,1,"[8, 9]",0,1.0,1.0,0.0,0.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,0
1,0,"[4, 7]",0,0.0,0.0,1.0,0.0,2
2,0,"[3, 7]",0,0.0,0.0,1.0,0.0,1
3,0,"[3, 8]",0,0.0,0.0,0.0,1.0,1
4,1,"[3, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,1
2,0,"[5, 9]",0,0.0,1.0,0.0,1.0,0
3,0,"[4, 9]",0,0.0,1.0,1.0,0.0,3
4,0,"[4, 8]",0,0.0,1.0,0.0,0.0,2
5,0,"[5, 8]",0,1.0,0.0,0.0,0.0,1
6,0,"[5, 9]",0,0.0,1.0,0.0,1.0,2
7,0,"[6, 9]",0,1.0,1.0,0.0,0.0,0
8,0,"[7, 9]",0,1.0,1.0,0.0,0.0,3
9,0,"[7, 8]",0,0.0,1.0,0.0,0.0,2
10,0,"[8, 8]",0,1.0,0.0,0.0,0.0,2
11,1,"[9, 8]",0,1.0,0.0,1.0,0.0,0
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,3
1,0,"[7, 4]",0,0.0,1.0,0.0,0.0,0
2,0,"[6, 4]",0,0.0,0.0,1.0,0.0,2
3,0,"[5, 4]",0,0.0,0.0,1.0,0.0,1
4,0,"[5, 5]",0,0.0,0.0,0.0,1.0,1
5,0,"[5, 6]",0,0.0,0.0,0.0,1.0,3
6,0,"[5, 7]",0,0.0,0.0,0.0,1.0,3
7,0,"[5, 8]",0,0.0,0.0,0.0,1.0,3
8,1,"[5, 9]",0,0.0,1.0,0.0,1.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,3
2,0,"[7, 7]",0,0.0,0.0,0.0,1.0,1
3,0,"[7, 8]",0,0.0,0.0,0.0,1.0,3
4,0,"[7, 9]",0,0.0,1.0,0.0,1.0,2
5,1,"[8, 9]",0,1.0,1.0,0.0,0.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,0
2,0,"[9, 5]",0,1.0,0.0,1.0,0.0,1
3,0,"[9, 6]",0,0.0,0.0,1.0,1.0,1
4,0,"[9, 7]",0,0.0,0.0,1.0,1.0,3
5,0,"[9, 8]",0,0.0,0.0,1.0,1.0,0
6,0,"[8, 8]",0,0.0,0.0,1.0,0.0,1
7,0,"[8, 9]",0,0.0,1.0,0.0,1.0,2
8,1,"[9, 9]",0,1.0,1.0,1.0,0.0,2
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
1,0,"[6, 7]",0,1.0,0.0,0.0,0.0,3
2,0,"[6, 6]",0,0.0,1.0,0.0,0.0,1
3,0,"[6, 5]",0,0.0,1.0,0.0,0.0,3
4,0,"[6, 4]",0,0.0,1.0,0.0,0.0,3
5,0,"[6, 3]",0,0.0,1.0,0.0,0.0,3
6,0,"[6, 2]",0,0.0,1.0,0.0,0.0,1
7,0,"[6, 1]",0,0.0,1.0,0.0,0.0,1
8,1,"[6, 0]",0,0.0,1.0,0.0,1.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,1
2,0,"[7, 7]",0,0.0,0.0,0.0,1.0,3
3,0,"[7, 8]",0,0.0,0.0,0.0,1.0,2
4,0,"[8, 8]",0,1.0,0.0,0.0,0.0,1
5,0,"[8, 9]",0,0.0,1.0,0.0,1.0,0
6,0,"[7, 9]",0,0.0,1.0,1.0,0.0,0
7,0,"[6, 9]",0,0.0,1.0,1.0,0.0,3
8,0,"[6, 8]",0,0.0,1.0,0.0,0.0,0
9,0,"[5, 8]",0,0.0,0.0,1.0,0.0,2
10,0,"[4, 8]",0,0.0,0.0,1.0,0.0,3
11,0,"[4, 7]",0,0.0,1.0,0.0,0.0,1
12,0,"[4, 6]",0,0.0,1.0,0.0,0.0,2
13,0,"[5, 6]",0,1.0,0.0,0.0,0.0,2
14,0,"[6, 6]",0,1.0,0.0,0.0,0.0,2
15,0,"[7, 6]",0,1.0,0.0,0.0,0.0,0
16,0,"[8, 6]",0,1.0,0.0,0.0,0.0,0
17,0,"[9, 6]",1,1.0,0.0,1.0,0.0,1
18,0,"[9, 7]",1,0.0,0.0,1.0,1.0,3
19,0,"[9, 8]",1,0.0,0.0,1.0,1.0,0
20,0,"[8, 8]",1,0.0,0.0,1.0,0.0,0
21,0,"[7, 8]",1,0.0,0.0,1.0,0.0,3
22,0,"[7, 7]",1,0.0,1.0,0.0,0.0,0
23,0,"[6, 7]",1,0.0,0.0,1.0,0.0,1
24,0,"[6, 8]",1,0.0,0.0,1.0,1.0,1
25,1,"[6, 9]",1,0.0,1.0,0.0,1.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,2
2,0,"[6, 8]",0,1.0,0.0,0.0,0.0,3
3,0,"[6, 7]",0,0.0,1.0,0.0,0.0,3
4,0,"[6, 6]",0,0.0,1.0,0.0,0.0,1
5,0,"[6, 5]",0,0.0,1.0,0.0,0.0,0
6,0,"[5, 5]",0,0.0,0.0,1.0,0.0,1
7,0,"[5, 6]",0,0.0,0.0,0.0,1.0,0
8,0,"[4, 6]",0,0.0,0.0,1.0,0.0,1
9,0,"[4, 7]",0,0.0,0.0,0.0,1.0,1
10,0,"[4, 8]",0,0.0,0.0,0.0,1.0,0
11,0,"[3, 8]",0,0.0,0.0,1.0,0.0,2
12,0,"[2, 8]",0,0.0,0.0,1.0,0.0,3
13,0,"[2, 7]",0,0.0,1.0,0.0,0.0,3
14,0,"[2, 6]",0,0.0,1.0,0.0,0.0,1
15,0,"[2, 5]",0,0.0,1.0,0.0,0.0,0
16,0,"[1, 5]",0,0.0,0.0,1.0,0.0,2
17,1,"[0, 5]",0,1.0,0.0,1.0,0.0,2
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,3
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,0
2,0,"[4, 8]",0,0.0,0.0,1.0,0.0,1
3,0,"[4, 9]",0,0.0,1.0,0.0,1.0,0
4,1,"[3, 9]",0,0.0,1.0,1.0,0.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,1
2,0,"[7, 7]",0,0.0,0.0,0.0,1.0,2
3,0,"[8, 7]",0,1.0,0.0,0.0,0.0,3
4,0,"[8, 6]",0,0.0,1.0,0.0,0.0,3
5,0,"[8, 5]",0,0.0,1.0,0.0,0.0,3
6,0,"[8, 4]",0,0.0,1.0,0.0,0.0,2
7,1,"[9, 4]",0,1.0,0.0,1.0,0.0,2
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,2
2,0,"[6, 8]",0,1.0,0.0,0.0,0.0,1
3,1,"[6, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,3
1,0,"[7, 4]",0,0.0,1.0,0.0,0.0,2
2,0,"[8, 4]",0,1.0,0.0,0.0,0.0,2
3,0,"[9, 4]",0,1.0,0.0,1.0,0.0,1
4,0,"[9, 5]",0,0.0,0.0,1.0,1.0,3
5,0,"[9, 6]",0,0.0,0.0,1.0,1.0,3
6,0,"[9, 7]",0,0.0,0.0,1.0,1.0,3
7,0,"[9, 8]",0,0.0,0.0,1.0,1.0,0
8,0,"[8, 8]",0,0.0,0.0,1.0,0.0,2
9,0,"[7, 8]",0,0.0,0.0,1.0,0.0,1
10,0,"[7, 9]",0,0.0,1.0,0.0,1.0,0
11,0,"[6, 9]",0,0.0,1.0,1.0,0.0,2
12,0,"[5, 9]",0,0.0,1.0,1.0,0.0,2
13,0,"[4, 9]",0,0.0,1.0,1.0,0.0,3
14,0,"[4, 8]",0,0.0,1.0,0.0,0.0,3
15,0,"[4, 7]",0,0.0,1.0,0.0,0.0,0
16,0,"[3, 7]",0,0.0,0.0,1.0,0.0,1
17,0,"[3, 8]",0,0.0,0.0,0.0,1.0,1
18,1,"[3, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,2
2,0,"[9, 5]",0,1.0,0.0,1.0,0.0,3
3,0,"[9, 4]",0,0.0,1.0,1.0,0.0,3
4,1,"[9, 3]",0,0.0,1.0,1.0,0.0,2
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,0
1,0,"[4, 7]",0,0.0,0.0,1.0,0.0,3
2,0,"[4, 6]",0,0.0,1.0,0.0,0.0,0
3,0,"[3, 6]",0,0.0,0.0,1.0,0.0,3
4,0,"[3, 5]",0,0.0,1.0,0.0,0.0,0
5,0,"[2, 5]",0,0.0,0.0,1.0,0.0,3
6,0,"[2, 4]",0,0.0,1.0,0.0,0.0,2
7,0,"[3, 4]",0,1.0,0.0,0.0,0.0,2
8,0,"[4, 4]",0,1.0,0.0,0.0,0.0,3
9,0,"[4, 3]",0,0.0,1.0,0.0,0.0,0
10,0,"[3, 3]",0,0.0,0.0,1.0,0.0,2
11,0,"[2, 3]",0,0.0,0.0,1.0,0.0,2
12,0,"[1, 3]",0,0.0,0.0,1.0,0.0,3
13,0,"[1, 2]",0,0.0,1.0,0.0,0.0,2
14,0,"[2, 2]",0,1.0,0.0,0.0,0.0,0
15,0,"[3, 2]",0,1.0,0.0,0.0,0.0,1
16,0,"[3, 3]",0,0.0,0.0,0.0,1.0,3
17,0,"[3, 4]",0,0.0,0.0,0.0,1.0,3
18,0,"[3, 5]",0,0.0,0.0,0.0,1.0,3
19,0,"[3, 6]",0,0.0,0.0,0.0,1.0,1
20,0,"[3, 7]",0,0.0,0.0,0.0,1.0,2
21,0,"[4, 7]",0,1.0,0.0,0.0,0.0,3
22,0,"[4, 6]",0,0.0,1.0,0.0,0.0,1
23,0,"[4, 5]",0,0.0,1.0,0.0,0.0,0
24,0,"[3, 5]",0,0.0,0.0,1.0,0.0,0
25,0,"[2, 5]",0,0.0,0.0,1.0,0.0,2
26,0,"[1, 5]",0,0.0,0.0,1.0,0.0,3
27,0,"[1, 4]",0,0.0,1.0,0.0,0.0,1
28,0,"[1, 3]",0,0.0,1.0,0.0,0.0,2
29,0,"[2, 3]",0,1.0,0.0,0.0,0.0,3
30,0,"[2, 2]",0,0.0,1.0,0.0,0.0,3
31,0,"[2, 1]",0,0.0,1.0,0.0,0.0,3
32,1,"[2, 0]",0,0.0,1.0,0.0,1.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,3
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,3
2,1,"[5, 9]",0,0.0,1.0,0.0,1.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,3
2,0,"[7, 7]",0,0.0,0.0,0.0,1.0,2
3,0,"[8, 7]",0,1.0,0.0,0.0,0.0,1
4,0,"[8, 8]",1,0.0,0.0,0.0,1.0,3
5,1,"[8, 9]",1,0.0,1.0,0.0,1.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,2
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,1
2,0,"[8, 6]",0,0.0,0.0,0.0,1.0,0
3,0,"[7, 6]",0,0.0,0.0,1.0,0.0,0
4,0,"[6, 6]",0,0.0,0.0,1.0,0.0,3
5,0,"[6, 5]",0,0.0,1.0,0.0,0.0,0
6,0,"[5, 5]",0,0.0,0.0,1.0,0.0,3
7,0,"[5, 4]",0,0.0,1.0,0.0,0.0,0
8,0,"[4, 4]",0,0.0,0.0,1.0,0.0,1
9,0,"[4, 5]",0,0.0,0.0,0.0,1.0,2
10,0,"[5, 5]",0,1.0,0.0,0.0,0.0,1
11,0,"[5, 6]",0,0.0,0.0,0.0,1.0,0
12,0,"[4, 6]",0,0.0,0.0,1.0,0.0,3
13,0,"[4, 5]",0,0.0,1.0,0.0,0.0,2
14,0,"[5, 5]",0,1.0,0.0,0.0,0.0,2
15,0,"[6, 5]",0,1.0,0.0,0.0,0.0,2
16,0,"[7, 5]",0,1.0,0.0,0.0,0.0,3
17,0,"[7, 4]",0,0.0,1.0,0.0,0.0,2
18,0,"[8, 4]",0,1.0,0.0,0.0,0.0,2
19,1,"[9, 4]",0,1.0,0.0,1.0,0.0,0
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,0
2,0,"[4, 8]",0,0.0,0.0,1.0,0.0,2
3,0,"[3, 8]",0,0.0,0.0,1.0,0.0,1
4,0,"[3, 9]",0,0.0,1.0,0.0,1.0,0
5,0,"[2, 9]",1,0.0,1.0,1.0,0.0,3
6,0,"[2, 8]",1,0.0,1.0,1.0,0.0,0
7,0,"[1, 8]",1,0.0,0.0,1.0,0.0,3
8,0,"[1, 7]",1,0.0,1.0,0.0,0.0,0
9,1,"[0, 7]",1,1.0,0.0,1.0,0.0,0
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,2
2,0,"[6, 8]",0,1.0,0.0,0.0,0.0,1
3,1,"[6, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
1,0,"[6, 7]",0,1.0,0.0,0.0,0.0,1
2,0,"[6, 8]",0,0.0,0.0,0.0,1.0,0
3,0,"[5, 8]",0,0.0,0.0,1.0,0.0,0
4,0,"[4, 8]",0,0.0,0.0,1.0,0.0,1
5,1,"[4, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,3
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,0
2,0,"[4, 8]",0,0.0,0.0,1.0,0.0,3
3,0,"[4, 7]",0,0.0,1.0,0.0,0.0,0
4,0,"[3, 7]",0,0.0,0.0,1.0,0.0,3
5,0,"[3, 6]",0,0.0,1.0,0.0,0.0,3
6,0,"[3, 5]",0,0.0,1.0,0.0,0.0,2
7,0,"[4, 5]",0,1.0,0.0,0.0,0.0,0
8,0,"[5, 5]",0,1.0,0.0,0.0,0.0,1
9,0,"[5, 6]",0,0.0,0.0,0.0,1.0,2
10,0,"[6, 6]",0,1.0,0.0,0.0,0.0,3
11,0,"[6, 5]",0,0.0,1.0,0.0,0.0,0
12,0,"[5, 5]",0,0.0,0.0,1.0,0.0,3
13,0,"[5, 4]",0,0.0,1.0,0.0,0.0,0
14,0,"[4, 4]",0,0.0,0.0,1.0,0.0,1
15,0,"[4, 5]",0,0.0,0.0,0.0,1.0,3
16,0,"[4, 6]",0,0.0,0.0,0.0,1.0,3
17,0,"[4, 7]",0,0.0,0.0,0.0,1.0,1
18,0,"[4, 8]",0,0.0,0.0,0.0,1.0,2
19,0,"[5, 8]",0,1.0,0.0,0.0,0.0,2
20,0,"[6, 8]",0,1.0,0.0,0.0,0.0,0
21,0,"[7, 8]",0,1.0,0.0,0.0,0.0,3
22,0,"[7, 7]",0,0.0,1.0,0.0,0.0,3
23,0,"[7, 6]",0,0.0,1.0,0.0,0.0,1
24,0,"[7, 5]",0,0.0,1.0,0.0,0.0,2
25,0,"[8, 5]",0,1.0,0.0,0.0,0.0,2
26,1,"[9, 5]",0,1.0,0.0,1.0,0.0,0
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,1
2,1,"[5, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,3
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,0
2,0,"[4, 8]",0,0.0,0.0,1.0,0.0,3
3,0,"[4, 7]",0,0.0,1.0,0.0,0.0,3
4,0,"[4, 6]",0,0.0,1.0,0.0,0.0,1
5,0,"[4, 5]",0,0.0,1.0,0.0,0.0,0
6,0,"[3, 5]",0,0.0,0.0,1.0,0.0,3
7,0,"[3, 4]",0,0.0,1.0,0.0,0.0,3
8,0,"[3, 3]",0,0.0,1.0,0.0,0.0,3
9,0,"[3, 2]",1,0.0,1.0,0.0,0.0,2
10,0,"[4, 2]",1,1.0,0.0,0.0,0.0,3
11,0,"[4, 1]",1,0.0,1.0,0.0,0.0,0
12,0,"[3, 1]",1,0.0,1.0,1.0,0.0,3
13,1,"[3, 0]",1,0.0,1.0,0.0,1.0,3
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,2
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,2
2,0,"[9, 5]",0,1.0,0.0,1.0,0.0,1
3,0,"[9, 6]",0,0.0,0.0,1.0,1.0,3
4,0,"[9, 7]",0,0.0,0.0,1.0,1.0,3
5,0,"[9, 8]",0,0.0,0.0,1.0,1.0,0
6,0,"[8, 8]",0,0.0,0.0,1.0,0.0,2
7,0,"[7, 8]",0,0.0,0.0,1.0,0.0,1
8,1,"[7, 9]",0,0.0,1.0,0.0,1.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,0
1,0,"[4, 7]",0,0.0,0.0,1.0,0.0,0
2,0,"[3, 7]",0,0.0,0.0,1.0,0.0,0
3,0,"[2, 7]",0,0.0,0.0,1.0,0.0,0
4,0,"[1, 7]",0,0.0,0.0,1.0,0.0,1
5,0,"[1, 8]",0,0.0,0.0,0.0,1.0,3
6,1,"[1, 9]",0,0.0,1.0,0.0,1.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,2
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,1
2,0,"[8, 6]",0,0.0,0.0,0.0,1.0,2
3,1,"[9, 6]",0,1.0,0.0,1.0,0.0,0
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,2
2,1,"[9, 5]",0,1.0,0.0,1.0,0.0,0
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,0
2,0,"[9, 5]",0,1.0,0.0,1.0,0.0,1
3,0,"[9, 6]",0,0.0,0.0,1.0,1.0,0
4,0,"[8, 6]",0,0.0,0.0,1.0,0.0,0
5,0,"[7, 6]",0,0.0,0.0,1.0,0.0,1
6,0,"[7, 7]",0,0.0,0.0,0.0,1.0,2
7,0,"[8, 7]",0,1.0,0.0,0.0,0.0,0
8,0,"[9, 7]",0,1.0,0.0,1.0,0.0,1
9,0,"[9, 8]",0,0.0,0.0,1.0,1.0,0
10,0,"[8, 8]",0,0.0,0.0,1.0,0.0,1
11,1,"[8, 9]",0,0.0,1.0,0.0,1.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,0
1,0,"[4, 7]",0,0.0,0.0,1.0,0.0,0
2,0,"[3, 7]",0,0.0,0.0,1.0,0.0,1
3,0,"[3, 8]",0,0.0,0.0,0.0,1.0,0
4,0,"[2, 8]",0,0.0,0.0,1.0,0.0,1
5,1,"[2, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,2
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,3
2,0,"[8, 4]",0,0.0,1.0,0.0,0.0,1
3,0,"[8, 3]",0,0.0,1.0,0.0,0.0,0
4,0,"[7, 3]",0,0.0,0.0,1.0,0.0,2
5,0,"[6, 3]",0,0.0,0.0,1.0,0.0,3
6,0,"[6, 2]",0,0.0,1.0,0.0,0.0,2
7,0,"[7, 2]",0,1.0,0.0,0.0,0.0,1
8,0,"[7, 3]",0,0.0,0.0,0.0,1.0,2
9,0,"[8, 3]",0,1.0,0.0,0.0,0.0,3
10,0,"[8, 2]",0,0.0,1.0,0.0,0.0,3
11,0,"[8, 1]",0,0.0,1.0,0.0,0.0,1
12,1,"[8, 0]",0,0.0,1.0,0.0,1.0,2
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,0
1,0,"[4, 7]",0,0.0,0.0,1.0,0.0,1
2,0,"[4, 8]",0,0.0,0.0,0.0,1.0,0
3,0,"[3, 8]",0,0.0,0.0,1.0,0.0,1
4,0,"[3, 9]",0,0.0,1.0,0.0,1.0,0
5,0,"[2, 9]",0,0.0,1.0,1.0,0.0,3
6,0,"[2, 8]",0,0.0,1.0,0.0,0.0,0
7,0,"[1, 8]",0,0.0,0.0,1.0,0.0,0
8,1,"[0, 8]",0,1.0,0.0,1.0,0.0,0
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,2
2,0,"[6, 8]",0,1.0,0.0,0.0,0.0,0
3,0,"[7, 8]",0,1.0,0.0,0.0,0.0,0
4,0,"[8, 8]",0,1.0,0.0,0.0,0.0,2
5,1,"[9, 8]",0,1.0,0.0,1.0,0.0,0
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,0
2,1,"[9, 5]",0,1.0,0.0,1.0,0.0,0
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,2
2,0,"[8, 6]",0,1.0,0.0,0.0,0.0,2
3,0,"[9, 6]",0,1.0,0.0,1.0,0.0,3
4,0,"[9, 5]",0,0.0,1.0,1.0,0.0,0
5,0,"[8, 5]",0,0.0,0.0,1.0,0.0,3
